[2025-12-21T04:53:16.142486] Processing 700 descriptions
[2025-12-21T04:53:16.143341] id=27: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.143603] id=28: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.143859] id=29: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.144193] id=30: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.144560] id=31: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.144825] id=32: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.145082] id=33: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.145406] id=34: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.145744] id=35: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.146002] id=36: "CARCAÇA Bruto" -> "CARCAÇA - Bruto"
[2025-12-21T04:53:16.147023] id=87: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.147368] id=88: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.147751] id=89: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.148445] id=90: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.148836] id=91: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.149329] id=92: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.149670] id=93: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.149998] id=94: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.150301] id=95: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.150658] id=96: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.151467] id=117: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.151749] id=118: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.152190] id=119: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.152513] id=120: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.152870] id=121: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.153230] id=122: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.153618] id=123: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.153965] id=124: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.154284] id=125: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.154550] id=126: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.155163] id=147: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.155402] id=148: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.155640] id=149: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.155887] id=150: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.156136] id=151: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.156428] id=152: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.156835] id=153: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.157247] id=154: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.157627] id=155: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.158041] id=156: "TAMPA DA DIREÇÃO Bruto" -> "TAMPA DA DIREÇÃO - Bruto"
[2025-12-21T04:53:16.159440] id=177: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
[2025-12-21T04:53:16.159834] id=178: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
[2025-12-21T04:53:16.160135] id=179: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
[2025-12-21T04:53:16.160412] id=180: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
[2025-12-21T04:53:16.160674] id=181: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
[2025-12-21T04:53:16.161013] id=182: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
[2025-12-21T04:53:16.161314] id=183: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
[2025-12-21T04:53:16.161571] id=184: "EIXO SETOR Bruto" -> "EIXO SETOR - Bruto"
